id	title_zh	year	developer	publisher_tw	loc	platform	chiuinan_url
cdg-0982	吸血鬼德古拉1：魔體復活	1999	Index+	大宇	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c21/dracur.htm
cdg-0988	咕嚕一族	1999	Monolith	松崗	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c32/gruntz.htm
cdg-1115	帝國主義2：拓荒時代	1999	Frog City		localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c32/imperia2.htm
cdg-1137	江湖後傳	1999	金智塔		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c11/jhhz.htm
cdg-1151	決戰大老二	1999	耀和		native	Win3.1、WinXP	https://chiuinan.github.io/game/game/intro/ch/c41/jzbig2.htm
cdg-1287	亞特蘭提斯2：超越亞特蘭提斯	1999	Cryo	第三波	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c21/atlant2.htm
cdg-1348	阿歷的歡樂牧場	1999	Ubisoft		localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c52/alex.htm
cdg-1370	青澀寶貝：星座戀愛物語	1999	NEC Interchannel	協和	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c22/sgw1.htm
cdg-1563	仕魂	1999	Hanbit	華彩	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c12/tahl.htm
cdg-1623	俠客遊：前途道標	1999	Artdink	第三波	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c12/ld95.htm
cdg-1817	真侍魂	1999	Kinesoft	普威爾	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c51/samurai2.htm
cdg-1935	用多媒體學國際象棋	1999	上海鵬達		native	Win3.1、WinXP	https://chiuinan.github.io/game/game/intro/ch/c41/lchess.htm
cdg-1941	異域鎮魂曲	1999	Interplay Productions		localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c12/pst.htm
cdg-1979	鹹蛋超人	1999	新未來	立德	native	Windows	https://chiuinan.github.io/game/game/intro/ch/c44/ultrak.htm
cdg-2007	麻辣四川省4	1999	大點科技	第三波	native	Windows	https://chiuinan.github.io/game/game/intro/ch/c42/4r4c.htm
cdg-2141	象棋兵法3：順炮篇	1999	晟業	智冠	native	Windows	https://chiuinan.github.io/game/game/intro/ch/c41/cch3.htm
cdg-2142	象棋兵法4：列炮篇	1999	晟業	智冠	native	Windows	https://chiuinan.github.io/game/game/intro/ch/c41/cch4.htm
cdg-2185	超級俄羅斯	1999	新造科技		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c44/ntetris.htm
cdg-2292	教育實習：女子校生慾望之激狂	1999	Tetratech	歡樂盒	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c22/maniax2.htm
cdg-2325	新同居時代	1999	SoftAction	怡碩	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c33/forever.htm
cdg-2355	新英雄傳說3：白髮魔女	1999	Falcom	協和	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c12/ed3_win.htm
cdg-2406	星海風暴	1999	JoyMax		localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c32/finalody.htm
cdg-2776	瘋狂主題樂園	1999	Bullfrog		localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c33/tp.htm
cdg-3101	棋牌大師之圍棋	1999	威孚		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c41/gos.htm
cdg-3105	森林野趣	1999	BBC	協和	localized	Win9x	https://chiuinan.github.io/game/game/intro/ch/c21/aofw.htm
cdg-3218	機甲戰士	1999	I'll Soft	旭力亞	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c52/hamos.htm
cdg-3255	火箭寶貝	1999	蕃茄	智冠	native	Windows	https://chiuinan.github.io/game/game/intro/ch/c52/hjbb.htm
cdg-3286	無敵中國象棋	1999	新造科技		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c41/mj8chess.htm
cdg-3287	無盡的旅程1	1999	Funcom	松崗	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c21/tlj.htm
cdg-3346	賭博電玩大合集：賭船號	1999	鉅盛	秀橋	native	Windows	https://chiuinan.github.io/game/game/intro/ch/c44/casi2000.htm
cdg-3367	學園退魔傳玲子2	1999	Trush	歡樂盒	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c22/reiko2.htm
cdg-3369	孿生物語	1999	富士通	第三波	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c33/twins.htm
cdg-3447	英雄本色：帝國霸業	1999	KSS	智冠	localized	Win3.1、WinXP	https://chiuinan.github.io/game/game/intro/ch/c32/wn.htm
cdg-3505	特勤機甲隊2高級版：前進戰場	1999	工畫堂	華義	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c31/pds2a.htm
cdg-3530	狩魔獵人3：血咒疑雲	1999	Sierra On-Line		localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c21/gk3.htm
cdg-3571	罪3	1999	h.m.p	歡樂盒	localized	Win9x	https://chiuinan.github.io/game/game/intro/ch/c33/mako.htm
cdg-3621	馬場大亨2000	1999	旭力亞		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c33/race2000.htm
cdg-3629	驚爆四川麻將	1999	新造科技		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c42/scnew4r.htm
cdg-3710	魔法公主	1999	美夢成真		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c33/alice.htm
cdg-3783	魔鬼戰將	1999	Eidos		localized	Win9x	https://chiuinan.github.io/game/game/intro/ch/c32/cmdos_mp.htm
cdg-3804	歡樂綜藝王	1999	岡業		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c44/playking.htm
cdg-3818	龍召還娘2	1999	Gimmick House	歡樂盒	localized	DOS	https://chiuinan.github.io/game/game/intro/ch/c11/silk2.htm
cdg-0075	Fool Panda歷險記	2000	旭力亞		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c44/fpanda.htm
cdg-0258	三國風雲2	2000	華義		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c32/sangofy2.htm
cdg-0352	大唐三藏	2000	三馳	金智塔	native	Windows	https://chiuinan.github.io/game/game/intro/ch/c11/tang.htm
cdg-0415	大航海家2	2000	Ascaron	光譜	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c33/p2.htm
cdg-0428	大魔域：白鳥傳說	2000	Microïds	協和	localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c21/amerzone.htm
cdg-0477	天諭	2000	次方	皇統	native	Windows	https://chiuinan.github.io/game/game/intro/ch/c52/tanyu.htm
cdg-0617	水族小舖	2000	玩酷		native	Windows	https://chiuinan.github.io/game/game/intro/ch/c33/vfish.htm
cdg-0689	印加帝國	2000	Ubisoft		localized	Windows	https://chiuinan.github.io/game/game/intro/ch/c32/theocrcy.htm
